keys,fr,en
O41_O2_DESCRIPTION,"[p]Utilisez cet onglet en trois temps.[/p][p]1. Affichez d'abord les binômes à favoriser ou à éviter. Les paires à éviter inclues les ‘ennemis’ déclarés, mais aussi les relations plus difficiles à gérer pour les enfants dans lesquelles un élève A veut travailler avec un élève B, mais B ne veut pas travailler avec A.[/p][p]2. Affichez les étiquettes du sociogramme et déplacez-les pour avoir des liens positifs (verts) forts et des liens rouges les plus minces possibles. Il ne s’agit pas que de créer des binômes efficaces, mais de préparer des relations apaisées avec les élèves placés devant ou derrière. Le problème est complexe. Mais, avec de la patience, vous devriez pouvoir placer les élèves à peu près comme dans votre salle de cours.[/p][p]3. Quand l'ensemble est satisfaisant, validez pour exporter les positions vers l'onglet suivant où vous pourrez finir d'ajuster votre plan de classe.[/p]","[p]Use this tab in three steps[/p][p]1. First, display the pairs to be favoured or avoided. Pairs to avoid include declared ‘enemies’, but also relationships that are more difficult for children to manage in which student A wants to work with B, but B does not want to work with A.[/p][p]2. Display the sociogram labels and move them around so that you have strong positive (green) links and as thin red links as possible. It's not just about creating effective pairs, it's also about preparing for peaceful relationships with the students in front or behind. The problem is complex. But, with a little patience, you should be able to place the students roughly as you would in your classroom[/p][p]3. When you are satisfied with the results, click to export the positions to the next tab, where you can finish adjusting your seating plan[/p]."
O41_O3_DESCRIPTION,"[p]Les tables de vos élèves sont affichées aux places choisies dans le sociogramme, vous pouvez les déplacer pour rendre le tout plus clean.[/p][p]Vous pouvez ajouter des tables vierges pour combler les trous.[/p][p]Quand vous avez fini, tracer les murs permet de visualiser la zone de l'image qui sera exportée pendant la capture.[p][/p]Enfin, je vous conseille de faire deux versions du plan: une dans le sens dans lequel vous regardez la classe de votre bureau (appel, interrogation), une dans le sens dont vos élèves voient la classe (par ex: pour leur projeter et qu'ils trouvent leurs places seuls).[/p]","[p]Your students' desks are displayed in the places chosen in the sociogram, and you can move them around to make the whole thing cleaner.[/p][p]You can add blank desks to fill in the gaps.[/p][p]When you're done, draw the walls to show the area of the image that will be exported during capture. [p][/p]Finally, I advise you to make two versions of the plan: one in the direction in which you look at the classroom from your desk (to call the register or quiz the students), and one in the direction in which your students look at the classroom (e.g. to screen it so that they can find seats on their own)[/p]."
O41_REWARD_COUPER,couper,stop
O41_REWARD_JOUER,jouer,play
O41_REWARD_DEBUT,"Pour vous récompenser d'avoir parcouru cette page, vous pouvez [color=TOMATO][url]cliquer pour ","As a reward for browsing this page, you can [color=TOMATO][url]click to "
O41_REWARD_FIN, les bruitages énervants[/url][/color]., annoying sound effects[/url][/color].
O42_PRESENTATION," est un logiciel d'aide à la décision pour faire des plans de classe. Si vous avez 30 élèves, et 30 places, vous avez 30! solutions possibles pour les installer (un nombre à 33 chiffres). Ce logiciel devrait vous permettre d'y voir un peu plus clair à un instant t, sachant que dans un mois (une heure?) toute la géopolitique de votre classe aura changé."," is a decision-support program for creating seating plans. If you have 30 students, and 30 seats, you have 30! possible solutions to install them (a 33-digit number). This software should let you get a clearer picture at a given moment, bearing in mind that in a month (or an hour?) the whole geopolitics of your classroom will have changed."
O42_AUTEUR," est développé par Sébastien Abilla, professeur de SVT, sur [i]son temps libre[/i]."," is developed by Sébastien Abilla, science teacher at a junior high school, in his [i]spare time[/i]."
O43_INSPIRATION,[p]D'après une idée glanée sur le super site de [color=#6a89cc][url=http://www.stephanecote.org/2014/03/27/gestion-de-classe-le-post-it-qui-supporte-lautonomie/]Stéphane Côté[/url][/color].[/p][p]Shaders :  [color=#6a89cc][url=https://godotshaders.com/shader/line2d-animation/]cpt_metal[/url][/color].[/p],[p]Based on an idea I picked up from [color=#6a89cc][url=http://www.stephanecote.org/2014/03/27/gestion-de-classe-le-post-it-qui-supporte-lautonomie/]Stéphane Côté[/url][/color]'s great website.[/p][p]Shaders :  [color=#6a89cc][url=https://godotshaders.com/shader/line2d-animation/]cpt_metal[/url][/color].[/p]
O44_LICENCE,"[p]Copyright (C) 2024 Sébastien Abilla[/p][p] [/p][p]Ce logiciel est fourni « en l'état », sans aucune garantie explicite ou implicite.  L'auteur ne peut en aucun cas être tenu pour responsable de quelque préjudice que ce soit résultant de l'utilisation de ce logiciel.[/p][p] [/p][p]Il est permis à quiconque d'utiliser ce logiciel à toutes fins, y compris commerciales, de le modifier et de le redistribuer librement, sous réserve des restrictions suivantes :[/p][p] [/p][p]1. L'origine de ce logiciel ne doit pas être présentée de manière trompeuse ; vous ne devez pas prétendre que vous avez écrit le logiciel original. Si vous utilisez ce logiciel dans un produit, une mention dans la documentation du produit serait appréciée mais n'est pas obligatoire.[/p][p]2. Les versions dont le code source a été modifié doivent être clairement identifiées comme telles et ne doivent pas être présentées comme étant le logiciel original.[/p][p]3. Cet avertissement ne doit pas être supprimé ou modifié lors de la diffusion de toute version du logiciel.[/p]","[p]Copyright (C) 2024 Sébastien Abilla[/p][p] [/p][p]This software is provided 'as-is', without any express or implied warranty. In no event will the authors be held liable for any damages arising from the use of this software.[/p][p] [/p][p]Permission is granted to anyone to use this software for any purpose, including commercial applications, and to alter it and redistribute it freely, subject to the following restrictions:[/p][p] [/p][p]1. The origin of this software must not be misrepresented; you must not claim that you wrote the original software. If you use this software in a product, an acknowledgment in the product documentation would be appreciated but is not required.[/p][p]2. Altered source versions must be plainly marked as such, and must not be misrepresented as being the original software.[/p][p]3. This notice may not be removed or altered from any source distribution.[/p]"
